benchmark,run,result
quadratic,baseline,785
quadratic,opt,732
montgomery,baseline,17
montgomery,opt,17
primes-between,baseline,574100
primes-between,opt,574100
mod_pow,baseline,243
mod_pow,opt,215
orders,baseline,5352
orders,opt,5352
sum-check,baseline,5018
sum-check,opt,5018
palindrome,baseline,298
palindrome,opt,298
rot13,baseline,8
rot13,opt,8
totient,baseline,253
totient,opt,253
fib_recursive,baseline,2693
fib_recursive,opt,2605
relative-primes,baseline,1923
relative-primes,opt,1914
hanoi,baseline,99
hanoi,opt,99
is-decreasing,baseline,127
is-decreasing,opt,121
check-primes,baseline,8468
check-primes,opt,7721
sum-sq-diff,baseline,3038
sum-sq-diff,opt,2735
fitsinside,baseline,10
fitsinside,opt,10
hamming,baseline,117
hamming,opt,117
fact,baseline,229
fact,opt,208
loopfact,baseline,116
loopfact,opt,107
recfact,baseline,104
recfact,opt,96
geometric-sum,baseline,35
geometric-sum,opt,35
factors,baseline,72
factors,opt,72
perfect,baseline,232
perfect,opt,232
binpow,baseline,105
binpow,opt,105
bitshift,baseline,167
bitshift,opt,155
digital-root,baseline,247
digital-root,opt,247
up-arrow,baseline,252
up-arrow,opt,252
mccarthy91,baseline,1385
mccarthy91,opt,1385
sum-divisors,baseline,159
sum-divisors,opt,159
permutation,baseline,130
permutation,opt,121
combination,baseline,178
combination,opt,178
ackermann,baseline,1464231
ackermann,opt,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,opt,61518
gebmm,baseline,3011
gebmm,opt,3011
euclid,baseline,563
euclid,opt,522
bbs,baseline,137
bbs,opt,137
binary-fmt,baseline,100
binary-fmt,opt,100
lcm,baseline,2326
lcm,opt,2326
gcd,baseline,46
gcd,opt,46
catalan,baseline,659378
catalan,opt,659378
armstrong,baseline,133
armstrong,opt,130
pascals-row,baseline,146
pascals-row,opt,124
collatz,baseline,169
collatz,opt,169
sum-bits,baseline,73
sum-bits,opt,73
sqrt_bin_search,baseline,744
sqrt_bin_search,opt,693
rectangles-area-difference,baseline,14
rectangles-area-difference,opt,14
mod_inv,baseline,558
mod_inv,opt,471
karatsuba,baseline,1548
karatsuba,opt,1548
reverse,baseline,46
reverse,opt,46
fizz-buzz,baseline,3652
fizz-buzz,opt,3052
bitwise-ops,baseline,1690
bitwise-ops,opt,1689
sum-digits,baseline,219
sum-digits,opt,188
delannoy,baseline,5748752
delannoy,opt,4951567
cholesky,baseline,3761
cholesky,opt,incorrect
mat-inv,baseline,1044
mat-inv,opt,incorrect
random_walk,baseline,516754
random_walk,opt,508482
gol,baseline,1425
gol,opt,1371
dead-branch,baseline,missing
dead-branch,opt,missing
function_call,baseline,59809726
function_call,opt,54208816
ray-sphere-intersection,baseline,142
ray-sphere-intersection,opt,134
birthday,baseline,484
birthday,opt,437
conjugate-gradient,baseline,1999
conjugate-gradient,opt,incorrect
leibniz,baseline,12499997
leibniz,opt,incorrect
n_root,baseline,733
n_root,opt,733
newton,baseline,217
newton,opt,217
euler,baseline,1908
euler,opt,1734
riemann,baseline,298
riemann,opt,298
mandelbrot,baseline,2720947
mandelbrot,opt,incorrect
logistic,baseline,1110
logistic,opt,1110
norm,baseline,505
norm,opt,505
cordic,baseline,517
cordic,opt,incorrect
exponentiation-by-squaring,baseline,187
exponentiation-by-squaring,opt,incorrect
pow,baseline,36
pow,opt,34
ray-bbox-intersection,baseline,33
ray-bbox-intersection,opt,33
sqrt,baseline,322
sqrt,opt,303
quickselect,baseline,279
quickselect,opt,279
1dconv,baseline,391
1dconv,opt,391
sieve,baseline,3482
sieve,opt,3455
bubblesort,baseline,253
bubblesort,opt,253
primitive-root,baseline,11029
primitive-root,opt,11024
adler32,baseline,6851
adler32,opt,6851
fnv1-hash,baseline,1768440
fnv1-hash,opt,1768440
adj2csr,baseline,56629
adj2csr,opt,56629
char-poly,baseline,383
char-poly,opt,timeout
csrmv,baseline,121202
csrmv,opt,incorrect
dot-product,baseline,88
dot-product,opt,incorrect
shufflesort,baseline,36564
shufflesort,opt,36564
major-elm,baseline,47
major-elm,opt,47
cordic,baseline,1062
cordic,opt,incorrect
max-subarray,baseline,193
max-subarray,opt,193
mat-mul,baseline,1990407
mat-mul,opt,1990407
fib,baseline,121
fib,opt,121
vsmul,baseline,86036
vsmul,opt,86036
quicksort-hoare,baseline,27333
quicksort-hoare,opt,27333
quicksort,baseline,264
quicksort,opt,264
two-sum,baseline,98
two-sum,opt,77
eight-queens,baseline,1006454
eight-queens,opt,959702
connected-components,baseline,1978
connected-components,opt,incorrect
binary-search,baseline,78
binary-search,opt,75
